,Name,Position,Height,Weight,Academic,High School,Year,Sport,College,Hometown,State,College (in univeristy)
0,Pat Scorah,LB,5-8,210.0,Sr.,St. John's College HS,2010,football,Dartmouth,Washington,district of columbia,
1,Tim McManus,WR,6-0,195.0,Sr.,St. Thomas Academy,2010,football,Dartmouth,St. Paul,minnesota,
2,Austin Katigan,WR,5-9,170.0,Fr.,Casady,2010,football,Dartmouth,Oklahoma City,oklahoma,
3,Donald Kephart,K,5-11,220.0,Sr.,Acalanes,2010,football,Dartmouth,Lafayette,california,
4,T.J. Cameron,RB,5-11,210.0,Sr.,Greenwich,2010,football,Dartmouth,Greenwich,connecticut,
5,Matt Oh,LB,6-2,225.0,Sr.,Greenhill,2010,football,Dartmouth,Coppell,texas,
6,Chad Hollis,CB,5-10,180.0,Jr.,Phillips Academy,2010,football,Dartmouth,Longwood,florida,
7,Andy Gay,QB,6-4,210.0,Fr.,Henry M. Jackson,2010,football,Dartmouth,Mill Creek,washington,
8,Shawn Abuhoff,CB,5-11,190.0,Jr.,Dade Christian,2010,football,Dartmouth,Hialeah,florida,
9,Daniel Barstein,P,6-1,175.0,Fr.,Mountain Brook,2010,football,Dartmouth,Birmingham,alaska,
10,Alex Johns,LB,6-4,225.0,Sr.,Gonzaga College HS,2010,football,Dartmouth,Washington,district of columbia,
11,Tyler Melancon,LB,5-11,210.0,Jr.,Plano East Sr.,2010,football,Dartmouth,Parker,texas,
12,Garrett Waggoner,SS,6-2,205.0,So.,Riverview,2010,football,Dartmouth,Sarasota,florida,
13,Cole Marcoux,QB,6-5,235.0,Fr.,Fieldston,2010,football,Dartmouth,New York,new york,
14,Dan Rooney,QB,6-3,215.0,Jr.,Shady Side Academy,2010,football,Dartmouth,Pittsburgh,pennsylvania,
15,A.J. Houston,CB,5-10,185.0,Sr.,Taft School,2010,football,Dartmouth,Bronx,new york,
16,Niles Murphy,WR,6-0,170.0,Sr.,Hilton Head Prep,2010,football,Dartmouth,Bluffton,south carolina,
17,Aaron Limonthas,LB,6-0,210.0,Jr.,Lamar,2010,football,Dartmouth,Houston,texas,
18,Ben Magnus,LB,6-3,205.0,Jr.,Albuquerque Academy,2010,football,Dartmouth,Corrales,new mexico,
19,Greg Patton,RB,6-0,195.0,So.,Woodward Academy,2010,football,Dartmouth,College Park,georgia,
20,Will Deevy,WR,6-5,210.0,Sr.,Kent Denver,2010,football,Dartmouth,Englewood,colorado,
21,Brad Dornak,WR,6-0,200.0,Jr.,Westlake,2010,football,Dartmouth,Austin,texas,
22,Conner Kempe,QB,6-4,225.0,Jr.,The Benjamin School,2010,football,Dartmouth,Tequesta,florida,
23,Peter Calvanelli,WR,6-2,185.0,Fr.,Delbarton School,2010,football,Dartmouth,Morristown,new jersey,
24,Steve Morris,CB,6-0,195.0,Sr.,Hinsdale Central,2010,football,Dartmouth,Hinsdale,illinois,
25,Philip Schmidt,DB,5-11,200.0,Fr.,Benet Academy,2010,football,Dartmouth,Woodridge,illinois,
26,Nick Schwieger,RB,5-10,210.0,Jr.,Bishop Feehan,2010,football,Dartmouth,Norton,massachusetts,
27,Foley Schmidt,K/P,5-9,195.0,Jr.,St. Thomas,2010,football,Dartmouth,Inver Grove Heights,minnesota,
28,Kevin de Regt,CB,5-9,180.0,Sr.,King & Low Heywood Thomas,2010,football,Dartmouth,Stamford,connecticut,
29,Dan Henggeler,RB,5-11,190.0,Fr.,West Torrance,2010,football,Dartmouth,Torrance,california,
30,Garrett Wymore,LB,6-2,215.0,So.,Chadwick School,2010,football,Dartmouth,Palos Verdes Peninsula,california,
31,Joey Casey,SS,5-10,190.0,Jr.,Noblesville,2010,football,Dartmouth,Noblesville,indianna,
32,Jeremy Rick,RB,5-10,175.0,So.,Bellingham,2010,football,Dartmouth,Bellingham,washington,
33,Ryan Paganetti,RB,5-10,205.0,Fr.,Belmont Hill,2010,football,Dartmouth,Bedford,massachusetts,
34,Dominick Pierre,RB,6-0,200.0,Fr.,Calvary Christian Academy,2010,football,Dartmouth,Ft. Lauderdale,florida,
35,Diego Fernandez-Soto,LB,6-0,205.0,Jr.,Belen Jesuit Prep,2010,football,Dartmouth,Miami,florida,
36,J.B. Andreassi,CB,5-10,180.0,Jr.,St. Anthony's,2010,football,Dartmouth,Water Mill,new york,
37,Billy Bradshaw,RB,6-1,210.0,So.,Rancho Bernardo,2010,football,Dartmouth,San Diego,california,
38,Michael Runger,LB,6-2,215.0,Fr.,Benet Academy,2010,football,Dartmouth,Lisle,illinois,
39,Edward von Kuhn,WR,6-3,190.0,Fr.,Phillips Academy (Mass.),2010,football,Dartmouth,Birmingham,alaska,
