Index,Name,Sport,Position,Height,Weight,Academic Year,Previous School,Year,Hometown,High School
0.0,Elijah Mitchell,Football,DB,,,So.,,2011,"Las Vegas, Nev.",
1.0,Jaiye Falusi,Football,DB,,,Sr.,,2011,"San Jose, Calif.",
2.0,Roman Wilson,Football,WR,,,So.,,2011,"Broken Arrow, Okla.",
3.0,Quinn Epperly,Football,QB,,,Fr.,,2011,"Knoxville, Tenn.",
4.0,Tim Dondanville,Football,QB,,,Jr.,,2011,"Springfield, Ill.",
5.0,Mandela Sheaffer,Football,DB,,,Jr.,,2011,"Findlay, Ohio",
6.0,Harrison Daniels,Football,DB,,,Sr.,,2011,"Naperville, Ill.",
,,Football,,,,,,2011,,
7.0,Tommy Wornham,Football,QB,,,Sr.,,2011,"San Diego, Calif.",
8.0,Drew Ellis,Football,QB,,,Sr.,,2011,"Myrtle Beach, S.C.",
9.0,Jack Verducci,Football,QB,,,Fr.,,2011,"Iowa City, Iowa",
10.0,Khamal Brown,Football,CB/WR,,,Fr.,,2011,"Atlanta, Ga.",
11.0,Stuart Ahlum,Football,TE,,,Jr.,,2011,"Charlotte, N.C.",
12.0,Caraun Reid,Football,DL,,,Jr.,,2011,"Bronx, N.Y.",
13.0,Connor Michelsen,Football,QB,,,Fr.,,2011,"Plano, Texas",
14.0,Dan Fitzsimmons,Football,DL,,,Sr.,,2011,"Flemington, N.J.",
15.0,Robby Templeton,Football,WR,,,Fr.,,2011,"Sacramento, Calif.",
16.0,Isaac Serwanga,Football,WR,,,Sr.,,2011,"Sacramento, Calif.",
17.0,Matt Costello,Football,WR,,,Fr.,,2011,"Everett, Mass.",
18.0,Malik Jackson,Football,QB,,,So.,,2011,"Jacksonville, Fla.",
19.0,Ivan Charbonneau,Football,DB,,,Sr.,,2011,"Kansas City, Kans.",
20.0,Connor Kelley,Football,QB,,,So.,,2011,"Batesville, Ind.",
21.0,Jimmy von Thron,Football,DB,,,Fr.,,2011,"Jacksonville, Fla.",
22.0,Brian Mills,Football,RB,,,So.,,2011,"Edmond, Okla.",
23.0,Trocon Davis,Football,DB,,,So.,,2011,"Plymouth Meeting, Pa.",
24.0,Taylor James,Football,DB,,,So.,,2011,"Davie, Fla.",
25.0,Chuck Dibilio,Football,TB,,,Fr.,,2011,"Nazareth, Pa.",
26.0,Blake Clemons,Football,DB,,,Sr.,,2011,"Hampton, Ga.",
27.0,Drew McDonald,Football,K,,,Fr.,,2011,"Huntsville, Ala.",
28.0,Andrew Starks,Football,LB,,,Jr.,,2011,"Plainfield, Ill.",
29.0,Phillip Bhaya,Football,DB,,,So.,,2011,"Haddonfield, N.J.",
30.0,Jakobi Johnson,Football,CB,,,Fr.,,2011,"Aurora, Ill.",
31.0,Joe Cloud,Football,P,,,Jr.,,2011,"Edwards, Ill.",
,,Football,,,,,,2011,,
32.0,Jonathan Esposito,Football,TB,,,Fr.,,2011,"West Hartford, Conn.",
33.0,Chance Cross,Football,DB,,,Sr.,,2011,"Simi Valley, Calif.",
34.0,Robert Basile,Football,LB,,,So.,,2011,"Quakertown, Pa.",
35.0,Mike Zeuli,Football,LB,,,Fr.,,2011,"Marlton, N.J.",
36.0,Will Powers,Football,TB,,,Fr.,,2011,"Jupiter, Fla.",
37.0,Kevin Navetta,Football,RB,,,Jr.,,2011,"Tyler, Texas",
38.0,Greg Kohles,Football,DB,,,Jr.,,2011,"Ridgefield Park, N.J.",
39.0,Joe Bonura,Football,FB,,,Fr.,,2011,"Winter Springs, Fla.",
40.0,Patrick Jacob,Football,K,,,Sr.,,2011,"Solon, Ohio",
41.0,Dan Freund,Football,DB,,,So.,,2011,"St. Paul, Minn.",
42.0,Otavio Fleury,Football,P,,,Sr.,,2011,"Oswego, Ill.",
43.0,Jason Ray,Football,LB,,,So.,,2011,"Clarkston, Mich.",
44.0,Brad Megay,Football,DL,,,Jr.,,2011,"Pottstown, Penn.",
45.0,Jess Patton,Football,LB,,,Fr.,,2011,"Murfreesboro, Tenn.",
46.0,Garrit Leicht,Football,LB,,,Fr.,,2011,"Louisville, Ky.",
47.0,Andy Kaier,Football,LB,,,Sr.,,2011,"Queensbury, N.Y.",
48.0,Brendan Sofen,Football,K,,,Fr.,,2011,"Manhattan Beach, Calif.",
49.0,Brian Pourciau,Football,RB,,,Jr.,,2011,"Washington, DC",
50.0,Brandon Glyck,Football,DL,,,Sr.,,2011,"Montville, N.J.",
51.0,Jack Woodall,Football,OL,,,Fr.,,2011,"Cincinnati, Ohio",
52.0,Steven Cody,Football,LB,,,Sr.,,2011,"Midlothian, Va.",
53.0,Joe Tull,Football,OL,,,Fr.,,2011,"Cincinnati, Ohio",
54.0,Charlie Langerhans,Football,OL,,,Jr.,,2011,"Moorestown, N.J.",
55.0,Tom Yetter,Football,OL,,,Fr.,,2011,"Klein, Texas",
56.0,Kevin DeMaio,Football,OL,,,Sr.,,2011,"Holmdel, N.J.",
,,Football,,,,,,2011,,
57.0,Alex Polofsky,Football,LB,,,So.,,2011,"Matthews, N.C.",
58.0,Greg Sotereanos,Football,DL,,,So.,,2011,"Elizabeth, Pa.",
59.0,Tim Kingsbury,Football,LB,,,Jr.,,2011,"Palos Park, Ill.",
60.0,Jason Tiemeier,Football,DS,,,Jr.,,2011,"Dublin, Ohio",
61.0,Max Wardaki,Football,OL,,,Fr.,,2011,"Stamford, Conn.",
62.0,Hanur Kim,Football,OL,,,Jr.,,2011,"Plano, Texas",
63.0,Joe Goss,Football,OL,,,So.,,2011,"Massapequa, N.Y.",
64.0,Max Coale,Football,OL,,,So.,,2011,"Highland, Md.",
65.0,Ryan Peloquin,Football,OL,,,Fr.,,2011,"Bristol, Conn.",
66.0,Adam Shippey,Football,DL,,,Sr.,,2011,"Lawrenceville, N.J.",
67.0,Matt Allen,Football,OL,,,Sr.,,2011,"Tulsa, Okla.",
68.0,Alec Egan,Football,OL,,,Jr.,,2011,"Abilene, Texas",
69.0,Mike Muha,Football,OL,,,Sr.,,2011,"Coraopolis, Penn.",
70.0,Mike Ramos,Football,OL,,,Fr.,,2011,"Cleveland, Ohio",
71.0,Chris Grous,Football,OL,,,Sr.,,2011,"Sewell, N.J.",
72.0,Michael Willis,Football,OL,,,So.,,2011,"Rutherford, N.J.",
73.0,John Moellers,Football,OL,,,Sr.,,2011,"Tulsa, Okla.",
74.0,Kevin Mill,Football,OL,,,Jr.,,2011,"West Chester, Penn.",
75.0,Michael Major,Football,OL,,,So.,,2011,"Tulsa, Okla.",
76.0,Spenser Huston,Football,OL,,,Fr.,,2011,"Summit, N.J.",
77.0,Mike Catapano,Football,DL,,,Sr.,,2011,"Bayville, N.Y.",
78.0,Taylor Pearson,Football,OL,,,So.,,2011,"Allen, Texas",
79.0,Cameron Browne,Football,OL,,,Sr.,,2011,"Lakewood, Colo.",
80.0,John Ed McGee,Football,WR,,,So.,,2011,"Houston, Texas",
81.0,Luke Taylor,Football,WR,,,Jr.,,2011,"Carrollton, Texas",
,,Football,,,,,,2011,,
82.0,Jon Hibler,Football,WR,,,Sr.,,2011,"Midland, Texas",
83.0,Alex Powell,Football,DL,,,Fr.,,2011,"Tulsa, Okla.",
84.0,Dylan Jeffay,Football,WR,,,Fr.,,2011,"Atlanta, Ga.",
85.0,Shane Wilkinson,Football,WR,,,Jr.,,2011,"Lubbock, Texas",
86.0,Seth DeValve,Football,WR,,,Fr.,,2011,"Manchester, Conn.",
87.0,Mark Hayes,Football,TE,,,Jr.,,2011,"Tulsa, Okla.",
88.0,Tom Moak,Football,WR,,,Jr.,,2011,"Atlanta, Ga.",
89.0,Des Smith,Football,TE,,,Jr.,,2011,"Watertown, Wis.",
90.0,Chris Pondo,Football,TE,,,So.,,2011,"Monroeville, N.J.",
91.0,Luke Merrell,Football,LB,,,Fr.,,2011,"Canton, Ohio",
92.0,Joe Robin,Football,DL,,,So.,,2011,"Vestavia Hills, Ala.",
93.0,Kevin Sochovka,Football,LB,,,Jr.,,2011,"Moosic, Penn.",
94.0,Victor Prato,Football,DL,,,Fr.,,2011,"Lincolndale, N.Y.",
95.0,Matt Landry,Football,DL,,,Jr.,,2011,"Pittsford, N.Y.",
96.0,Mike Milano,Football,LB,,,Sr.,,2011,"New Canaan, Conn.",
0.0,Elijah Mitchell,Football,DB,,,Jr.,,2012,"Las Vegas, Nev.",
1.0,Anthony Gaffney,Football,CB,,,Fr.,,2012,"Columbus, N.J.",
2.0,Roman Wilson,Football,WR,,,Jr.,,2012,"Broken Arrow, Okla.",
3.0,Quinn Epperly,Football,QB,,,So.,,2012,"Knoxville, Tenn.",
4.0,Tim Dondanville,Football,QB,,,Sr.,,2012,"Springfield, Ill.",
5.0,Mandela Sheaffer,Football,DB,,,Sr.,,2012,"Findlay, Ohio",
6.0,Kedric Bostic,Football,QB,,,Fr.,,2012,"Jupiter, Fla.",
,,Football,,,,,,2012,,
7.0,Matt Arends,Football,DB,,,Fr.,,2012,"Prior Lake, Minn.",
8.0,Garrett Gosse,Football,QB,,,Fr.,,2012,"Las Vegas, Nev.",
9.0,Isaiah Barnes,Football,WR,,,Fr.,,2012,"Freeport, N.Y.",
10.0,Nolan Bieck,Football,PK,,,Fr.,,2012,"Fort Lauderdale, Fla.",
11.0,Max Lescano,Football,DB,,,Fr.,,2012,"Fort Lauderdale, Fla.",
12.0,Khamal Brown,Football,CB,,,So.,,2012,"Atlanta, Ga.",
13.0,Stuart Ahlum,Football,TE,,,Sr.,,2012,"Charlotte, N.C.",
14.0,Malik Jackson,Football,QB,,,Jr.,,2012,"Jacksonville, Fla.",
15.0,Caraun Reid,Football,DL,,,Sr.,,2012,"Bronx, N.Y.",
16.0,Connor Michelsen,Football,QB,,,So.,,2012,"Plano, Texas",
17.0,Jack Verducci,Football,QB,,,So.,,2012,"Iowa City, Iowa",
18.0,Wes Moon,Football,LB,,,Fr.,,2012,"Superior, Colo.",
19.0,Matt Costello,Football,WR,,,So.,,2012,"Everett, Mass.",
20.0,Travis McHugh,Football,WR,,,Fr.,,2012,"Woodside, Calif.",
21.0,Taylor Petty,Football,WR,,,Fr.,,2012,"Newport Beach, Calif.",
22.0,Connor Kelley,Football,WR,,,So.,,2012,"Batesville, Ind.",
23.0,Jimmy von Thron,Football,DB,,,So.,,2012,"Jacksonville, Fla.",
24.0,Brian Mills,Football,DB,,,Jr.,,2012,"Edmond, Okla.",
25.0,Trocon Davis,Football,DB,,,Jr.,,2012,"Plymouth Meeting, Pa.",
26.0,Taylor James,Football,DB,,,Jr.,,2012,"Davie, Fla.",
27.0,Dré Nelson,Football,RB,,,Fr.,,2012,"Stone Mountain, Ga.",
28.0,John Hill,Football,CB/TB,,,Fr.,,2012,"Warren, Mich",
29.0,Chris Smith,Football,DB,,,Fr.,,2012,"Pittsburg, Kan.",
30.0,Akil Sharp,Football,RB,,,Sr.,,2012,"Las Vegas, Nev.",
31.0,Andrew Starks,Football,LB,,,Sr.,,2012,"Plainfield, Ill.",
,,Football,,,,,,2012,,
